point_id,name,point_type,lon,lat,nearest_station,connector_distance_m,connector_time_min
District:NIESZAWSKI,NIESZAWSKI,District,18.65777858432286,52.64269071697054,Płowce,2843.8506931327183,42.657760396990774
District:NIEŚWIESKI,NIEŚWIESKI,District,26.65039263700322,53.11046022480797,Baranowicze Poleskie Wąskie,40800.30481218139,612.0045721827208
District:NIŻAŃSKI,NIŻAŃSKI,District,22.153989730942136,50.459419684514565,Rozwadów,16931.709020894905,253.97563531342357
District:NOWOGRÓDZKI,NOWOGRÓDZKI,District,25.80042448781762,53.56816686708275,Skrzydlewo,633.7442185312561,9.506163277968842
District:NOWOSĄDECKI,NOWOSĄDECKI,District,20.762839363862515,49.55643855828651,Nowy Sącz,6920.339233930502,103.80508850895752
District:NOWOTARSKI,NOWOTARSKI,District,20.004415672367724,49.43622445020838,Nowy Targ,5413.5322761959,81.20298414293849
District:NOWOTOMYSKI,NOWOTOMYSKI,District,16.211081567947467,52.337833710304366,Wąsowo,3939.561514459686,59.09342271689528
District:OBORNICKI,OBORNICKI,District,16.860376081373285,52.681220613866245,Oborniki Wielkopolskie,5235.110640268493,78.52665960402739
District:OLKUSKI,OLKUSKI,District,19.672765138445843,50.361681894370385,Olkusz,12242.708106070198,183.64062159105296
District:OPATOWSKI,OPATOWSKI,District,21.39075864858399,50.85168211489404,Ostrowiec Świętokrzyski,11057.546050471865,165.86319075707797
District:OPOCZYŃSKI,OPOCZYŃSKI,District,20.30660986733153,51.40117502913391,Opoczno,2717.208014152704,40.75812021229056
District:OSTROWSKI (OSTRÓW MAZOWIECKA),OSTROWSKI (OSTRÓW MAZOWIECKA),District,21.923603048968793,52.76319775787508,Ostrów Mazowiecka,7665.789617627623,114.98684426441433
District:OSTROWSKI (OSTRÓW WIELKOPOLSKI),OSTROWSKI (OSTRÓW WIELKOPOLSKI),District,17.814274492301852,51.60186307688515,Ostrów Wielkopolski,5303.030285841622,79.54545428762432
District:OSTROŁĘCKI,OSTROŁĘCKI,District,21.563383862678453,53.19436998555114,Ostrołęka Północna Wąskotorowa,11779.862387879553,176.6979358181933
District:OSZMIAŃSKI,OSZMIAŃSKI,District,26.018413739632834,54.38421671606767,Oszmiana,16875.011542024604,253.12517313036906
District:PIOTRKOWSKI,PIOTRKOWSKI,District,19.563378589701546,51.35924275239889,Piotrków Trybunalski,10567.186360623828,158.50779540935739
District:PIŃCZOWSKI,PIŃCZOWSKI,District,20.524464002834492,50.365449190595605,Cudzynowice,7847.200506368961,117.70800759553441
District:PIŃSKI,PIŃSKI,District,26.036210094808943,52.05301208939409,Pińsk,7928.1651989983675,118.92247798497552
District:PODHAJECKI,PODHAJECKI,District,25.163526244288164,49.26028432369879,Podhajce,2691.4869456275273,40.372304184412904
District:POSTAWSKI,POSTAWSKI,District,27.067965528498714,55.03407418421316,Woropajewo,14971.028590625498,224.56542885938245
District:POZNAŃ (MIASTO),POZNAŃ (MIASTO),District,16.926120840633185,52.405812211312416,Poznań (Dawny Dworzec),719.2436260594446,10.78865439089167
District:POZNAŃSKI,POZNAŃSKI,District,16.89567501695441,52.413132648090844,Poznań (Dawny Dworzec),2146.090373878288,32.19135560817432
District:PRUŻAŃSKI,PRUŻAŃSKI,District,24.514712110521963,52.54811524699239,Prużana,3454.4837644437443,51.81725646665617
District:PRZASNYCKI,PRZASNYCKI,District,20.9209282055759,53.16014145958039,Chorzele,13381.99722205804,200.72995833087057
District:PRZEMYSKI,PRZEMYSKI,District,22.72620371646614,49.78276788368414,Przemyśl,4488.103250447497,67.32154875671246
District:PRZEMYŚLAŃSKI,PRZEMYŚLAŃSKI,District,24.570921148432117,49.681834140741884,Wołków,7121.233076616076,106.81849614924113
District:PRZEWORSKI,PRZEWORSKI,District,22.43657937536727,50.025600052704824,Kańczuga,4882.719661903884,73.24079492855826
District:PSZCZYŃSKI,PSZCZYŃSKI,District,18.93197806543218,50.07183984527378,Tychy,7540.128811043496,113.10193216565244
District:PUŁAWSKI,PUŁAWSKI,District,22.046062150883426,51.30574365544436,Karczmiska,10561.621624313906,158.4243243647086
District:PUŁTUSKI,PUŁTUSKI,District,21.079003919678243,52.64529064243493,Nasielsk,19157.46875248848,287.36203128732717
District:PŁOCKI,PŁOCKI,District,19.88506455491314,52.59376500231448,Płock,13319.191905977303,199.78787858965953
District:PŁOŃSKI,PŁOŃSKI,District,20.402237807487936,52.593337121964915,Płońsk,3907.4953971617033,58.612430957425545
District:RADOMSKI,RADOMSKI,District,21.03774654810528,51.433690746664,Radom,8764.036953856397,131.46055430784594
District:RADOMSZCZAŃSKI,RADOMSZCZAŃSKI,District,19.452586399934564,51.03386120640227,Radomsko,3781.305651824523,56.71958477736784
District:RADZIECHOWSKI,RADZIECHOWSKI,District,24.740073640581713,50.25101376373184,Stojanów,15038.799985146474,225.58199977719707
District:RADZYMIŃSKI,RADZYMIŃSKI,District,21.412040830508364,52.43558650509417,Tłuszcz,1658.830383678789,24.882455755181834
District:RADZYŃSKI,RADZYŃSKI,District,22.799878568163066,51.832580869099026,Radzyń Podlaski,9107.12397641011,136.60685964615166
District:RAWICKI,RAWICKI,District,16.96925635926989,51.64520579836733,Miejska Górka,1168.8098341744235,17.53214751261635
District:RAWSKI (RAWA MAZOWIECKA),RAWSKI (RAWA MAZOWIECKA),District,20.30496945259106,51.689747664375375,Rawa Mazowiecka,9491.81442852882,142.37721642793227
District:RAWSKI (RAWA RUSKA),RAWSKI (RAWA RUSKA),District,23.66986548985857,50.266259244964516,Rawa Ruska,5136.819851653599,77.05229777480398
District:ROHATYŃSKI,ROHATYŃSKI,District,24.61105938145219,49.33556191187163,Podwysokie,13099.7490969902,196.49623645485298
District:ROPCZYCKI,ROPCZYCKI,District,21.483681364359093,50.047726556178304,Dębica,5680.5078573838755,85.20761786075812
District:RUDECKI,RUDECKI,District,23.58426470619096,49.61844434223511,Gródek Jagielloński,19018.538176098213,285.27807264147316
District:RYBNICKI,RYBNICKI,District,18.53243460096585,50.06930927471088,Niedobczyce,2250.4348186424686,33.756522279637025
District:RYPIŃSKI,RYPIŃSKI,District,19.420918887806984,53.049702376094245,Rypin,1479.4674158943453,22.19201123841518
District:RZESZOWSKI,RZESZOWSKI,District,21.966286030462527,49.98062949396636,Rzeszów,6894.725063811737,103.42087595717605
District:RÓWIEŃSKI,RÓWIEŃSKI,District,26.506547392925757,50.66422384331121,Równe,19296.228598141148,289.4434289721172
District:SAMBORSKI,SAMBORSKI,District,23.175590806807524,49.50714852209913,Sambor,1982.3392862690014,29.735089294035017
District:SANDOMIERSKI,SANDOMIERSKI,District,21.47305837884398,50.61970910420182,Bogoria,16105.03568105502,241.57553521582528
District:SANOCKI,SANOCKI,District,22.04443738107173,49.489928032582164,Rzepedź,12654.95041809986,189.82425627149786
District:SARNEŃSKI,SARNEŃSKI,District,26.567538499097132,51.381936663497136,Sarny,5391.263224268686,80.86894836403029
District:SIEDLECKI,SIEDLECKI,District,22.44278395352504,52.17938284081443,Siedlce,11815.865779466647,177.23798669199968
District:SIERADZKI,SIERADZKI,District,18.708742231121303,51.590472658746215,Sieradz,948.6367002956052,14.229550504434078
District:SIERPECKI,SIERPECKI,District,19.85900206179583,52.869092138291784,Sierpc,13425.368124098528,201.38052186147792
District:SKAŁACKI,SKAŁACKI,District,26.056402552456635,49.404452627871905,Grzymałów,6946.8605078565715,104.20290761784857
District:SKIERNIEWICKI,SKIERNIEWICKI,District,20.210515325714802,51.90471984728759,Skierniewice,8094.859211494189,121.42288817241283
District:SOCHACZEWSKI,SOCHACZEWSKI,District,20.299411718102302,52.28206454418526,Tułowice Sochaczewskie,7022.1780196537475,105.3326702948062
District:SOKALSKI,SOKALSKI,District,24.235684582969824,50.432399840638055,Krystynopol,4277.377992608401,64.16066988912601
District:SOKOŁOWSKI,SOKOŁOWSKI,District,22.306929651644403,52.480348241421716,Sokołów Podlaski,8841.281894203914,132.6192284130587
District:SOKÓLSKI,SOKÓLSKI,District,23.44438309065828,53.46384098204702,Sokółka,7826.12217606417,117.39183264096255
District:STANISŁAWOWSKI,STANISŁAWOWSKI,District,24.652444609210697,48.95621490378497,Stanisławów,6240.99251127166,93.6148876690749
District:STAROGARDZKI,STAROGARDZKI,District,18.40311598190127,53.84766629860425,Skórcz,9933.004446659954,148.9950666998993
District:STOLIŃSKI,STOLIŃSKI,District,27.016267886859147,51.82415694947229,Horyń,16318.05313348941,244.77079700234114
District:STOPNICKI,STOPNICKI,District,20.907818285883568,50.505459147174754,Staszów Wąskotorowy,19702.960242828707,295.5444036424306
District:STOŁPECKI,STOŁPECKI,District,26.538387483183072,53.6081541538556,Stołpce,20201.345217647286,303.0201782647093
District:STRYJSKI,STRYJSKI,District,23.59540302049228,49.0589940618255,Truskawiec Zdrój,25651.36545280422,384.77048179206326
District:SUWALSKI,SUWALSKI,District,23.062012436623917,54.13121701215814,Suwałki,9081.93687517456,136.2290531276184
District:SZAMOTULSKI,SZAMOTULSKI,District,16.401063811555424,52.60506706696583,Binino,4232.866798306659,63.493001974599885
District:SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),District,22.48163834858101,53.56272199618886,Grajewo,8733.9830514108,131.009745771162
District:SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),District,24.749989479891568,53.67754876230049,Mosty,30975.07173965615,464.62607609484223
District:SZUBIŃSKI,SZUBIŃSKI,District,17.714658977286362,52.98515576669759,Szubin,3553.0475835994175,53.29571375399126
District:SĘPOLEŃSKI,SĘPOLEŃSKI,District,17.52193101404222,53.435290096199104,Sępólno Krajeńskie,2780.509734634372,41.70764601951557
District:SŁONIMSKI,SŁONIMSKI,District,25.244632813530192,53.137014239115445,Słonim,7023.0922394084055,105.34638359112608
District:TARNOBRZESKI,TARNOBRZESKI,District,21.838257204478246,50.57894402743309,Grębów,2749.329335049485,41.23994002574227
District:TARNOGÓRSKI,TARNOGÓRSKI,District,18.891047167176335,50.475011260794474,Tarnowskie Góry Lasowice,2690.350499030822,40.355257485462324
District:TARNOPOLSKI,TARNOPOLSKI,District,25.55620843624334,49.53529309953022,Tarnopol,3471.0138626838125,52.06520794025719
District:TARNOWSKI,TARNOWSKI,District,21.00206776906625,49.94975214987664,Tarnów,6468.102264216989,97.02153396325483
District:TCZEWSKI,TCZEWSKI,District,18.733669704783853,53.94017413549248,Wielkie Walichnowy,8148.630383930877,122.22945575896316
District:TOMASZOWSKI,TOMASZOWSKI,District,23.53194636118548,50.53275162030312,Wożuczyn,4598.357620401282,68.97536430601922
District:TORUŃSKI,TORUŃSKI,District,18.57697786001444,53.07748346661538,Olek,2323.6597822251174,34.85489673337676
District:TREMBOWELSKI,TREMBOWELSKI,District,25.68154386656704,49.26824923418694,Trembowla,3539.1107148771216,53.08666072315682
District:TUCHOLSKI,TUCHOLSKI,District,17.94656696390864,53.59273105504347,Tuchola,5818.720888585248,87.28081332877872
