station;coords;wiki_link
Czerwieńsk;52.015000, 15.411944;https://pl.wikipedia.org/wiki/Czerwieńsk_(stacja_kolejowa)
Czerwona Woda;51.251944, 15.219167;https://pl.wikipedia.org/wiki/Czerwona_Woda_(stacja_kolejowa)
Czerwony Bór;53.059167, 22.145000;https://pl.wikipedia.org/wiki/Czerwony_Bór_(stacja_kolejowa)
Czerwonka;53.914444, 20.894167;https://pl.wikipedia.org/wiki/Czerwonka_(stacja_kolejowa)
Czosnowo;53.794167, 17.365833;https://pl.wikipedia.org/wiki/Czosnowo_(przystanek_kolejowy)
Częstochowa;50.808611, 19.119167;https://pl.wikipedia.org/wiki/Częstochowa_(stacja_kolejowa)
Częstochowa Stradom;50.7973211,19.1069996;https://pl.wikipedia.org/wiki/Częstochowa_Stradom
Człopa;53.084167, 16.120556;https://pl.wikipedia.org/wiki/Człopa_(stacja_kolejowa)
Człuchów;53.657500, 17.371111;https://pl.wikipedia.org/wiki/Człuchów_(stacja_kolejowa)
Dalniki;51.610833, 24.989000;https://www.atlaskolejowy.net/ua/wolynski/?id=baza&poz=29744
Damasławek;52.843333, 17.496944;https://pl.wikipedia.org/wiki/Damasławek_(stacja_kolejowa)
Dargoleza;54.607778, 17.506667;https://pl.wikipedia.org/wiki/Dargoleza_(przystanek_kolejowy)
Dargosław;53.999444, 15.387222;https://pl.wikipedia.org/wiki/Dargosław_(województwo_zachodniopomorskie)
Darkehmen;54.416667, 22.016667;https://pl.wikipedia.org/wiki/Oziorsk_(obwód_królewiecki)
Darłowo;54.416944, 16.404444;https://pl.wikipedia.org/wiki/Darłowo_(przystanek_kolejowy)
Daugavpils;55.874722, 26.527222;https://pl.wikipedia.org/wiki/Daugavpils_(stacja_kolejowa)
Delatyn;48.508639, 24.616417;https://pl.wikipedia.org/wiki/Delatyn_(stacja_kolejowa)
Dobiegniew;52.968056, 15.747222;https://pl.wikipedia.org/wiki/Dobiegniew_(stacja_kolejowa)
Dobra Nowogardzkie;53.578056, 15.305556;https://pl.wikipedia.org/wiki/Dobra_Nowogardzkie
Dobra Nowogardzkie Północ;53.587781, 15.292803;https://pl.wikipedia.org/wiki/Dobra_Nowogardzkie_Północ
Dobra Szczecińska;53.485000, 14.382222;https://pl.wikipedia.org/wiki/Dobra_Szczecińska_(stacja_kolejowa)
Dobre Kujawskie;52.688611, 18.563889;https://pl.wikipedia.org/wiki/Dobre_Kujawskie
Dobrodzień;50.720833, 18.444444;https://pl.wikipedia.org/wiki/Dobrodzień_(stacja_kolejowa)
Dobry Pomorski;54.128721, 19.944091;https://polska-org.pl/9152000,Dobry,Stacja_kolejowa_Dobry_Pomorski_zlikwidowana.html
Dobrzyca;51.867222, 17.612500;https://pl.wikipedia.org/wiki/Dobrzyca_(stacja_kolejowa)
Dobrzykowice Wrocławskie;51.087222, 17.180000;https://pl.wikipedia.org/wiki/Dobrzykowice_Wrocławskie
Dolina;48.982306, 23.984056;https://pl.wikipedia.org/wiki/Dolina_(stacja_kolejowa)
Dolni Lipka;50.089167, 16.721111;https://pl.wikipedia.org/wiki/Dolní_Lipka_(stacja_kolejowa)
Domachowo;51.818889, 17.050556;https://pl.wikipedia.org/wiki/Domachowo_(przystanek_kolejowy)
Dorohusk;51.172778, 23.788333;https://pl.wikipedia.org/wiki/Dorohusk_(stacja_kolejowa)
Dorotowo;53.370556, 17.266667;https://pl.wikipedia.org/wiki/Dorotowo_(przystanek_kolejowy)
Doudleby nad Orlici;50.109389, 16.258833;https://www.atlaskolejowy.net/cz/kralovehradecky/?id=baza&poz=10294
Drawski Młyn;52.859722, 16.094167;https://pl.wikipedia.org/wiki/Drawski_Młyn_(stacja_kolejowa)
Drawsko Pomorskie;53.523056, 15.824722;https://pl.wikipedia.org/wiki/Drawsko_Pomorskie_(stacja_kolejowa)
Drawsko Pomorskie Wąskotorowe;53.533611, 15.804722;https://pl.wikipedia.org/wiki/Drawsko_Pomorskie_Wąskotorowe
Dresden;51.0493286,13.7381437;https://de.wikipedia.org/wiki/Dresden
Drohiczyn;52.182111, 25.052222;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=29994
Drohobycz;49.355, 23.543611;https://pl.wikipedia.org/wiki/Drohobycz_(stacja_kolejowa)
Druja;55.778056, 27.480278;https://pl.wikipedia.org/wiki/Druja_(stacja_kolejowa)
Druja Wąska;55.791194, 27.448000;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30381
Druskienniki;54.008889, 23.976944;https://pl.wikipedia.org/wiki/Druskieniki_(stacja_kolejowa)
Dubieninki;54.288889, 22.553889;https://pl.wikipedia.org/wiki/Dubeninki_(stacja_kolejowa)
Ducherow;53.765000, 13.796944;https://pl.wikipedia.org/wiki/Ducherow_(stacja_kolejowa)
Dukszty;55.519722, 26.324722;https://pl.wikipedia.org/wiki/Dukszty_(stacja_kolejowa)
Dukszty Wąskotorowe;55.519889, 26.324556;https://www.atlaskolejowy.net/lt/utenos/?id=baza&poz=20805
Duszniki Wielkopolskie;52.449167, 16.398889;https://pl.wikipedia.org/wiki/Duszniki_Wielkopolskie
Duszniki Zdrój;50.408611, 16.385833;https://pl.wikipedia.org/wiki/Duszniki-Zdrój_(stacja_kolejowa)
Dynów;49.805556, 22.239722;https://pl.wikipedia.org/wiki/Dynów_(stacja_kolejowa)
Działdowo;53.237778, 20.167500;https://pl.wikipedia.org/wiki/Działdowo_(stacja_kolejowa)
Działoszyce;50.361389, 20.349444;https://pl.wikipedia.org/wiki/Działoszyce_(stacja_kolejowa)
Dziatłowicze;52.359528, 26.794250;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30194
Dziekanów;50.838611, 23.913056;https://pl.wikipedia.org/wiki/Dziekanów_(przystanek_kolejowy)
Dziembówko;53.070556, 16.815556;https://pl.wikipedia.org/wiki/Dziembówko_(stacja_kolejowa)
Dzierzbice Kutnowskie;52.277222, 18.993889;https://pl.wikipedia.org/wiki/Dzierzbice_Kutnowskie
Dzierżoniów;50.724444, 16.640556;https://pl.wikipedia.org/wiki/Dzierżoniów_Śląski
Dziewiętlice;50.406944, 17.078333;https://pl.wikipedia.org/wiki/Dziewiętlice_(stacja_kolejowa)
Dzikowo Iławieckie;54.318333, 20.402500;https://pl.wikipedia.org/wiki/Dzikowo_Iławeckie_(przystanek_kolejowy)
Dąbie;52.104167, 18.860278;https://pl.wikipedia.org/wiki/Dąbie_nad_Nerem_(stacja_kolejowa)
Dąbrowa Górnicza;50.330000, 19.185556;https://pl.wikipedia.org/wiki/Dąbrowa_Górnicza_(stacja_kolejowa)
Dąbrowa Tarnowska;50.169722, 20.975278;https://pl.wikipedia.org/wiki/Dąbrowa_Tarnowska_(stacja_kolejowa)
Dąbrowica;51.560667, 26.595139;https://www.atlaskolejowy.net/ua/rowienski/?id=baza&poz=29681
Dąbrowica Wąska;51.558722, 26.155222;https://www.atlaskolejowy.net/ua/rowienski/?id=baza&poz=29710
Dąbrówno;53.4330094,20.0360833;https://pl.wikipedia.org/wiki/Dąbrówno_(województwo_warmińsko-mazurskie)
Dęba Rozalin;50.428889, 21.743056;https://pl.wikipedia.org/wiki/Dęba_Rozalin
Dębica;50.054167, 21.405000;https://pl.wikipedia.org/wiki/Dębica_(stacja_kolejowa)
Dęblin;51.5624910,21.8654383;https://pl.wikipedia.org/wiki/Dęblin
