line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_4b2b96647d;Niemcza;Łagiewniki Dzierżoniowskie;1884-01-01;;false;;Lijewski;
L_3a2cda93b6;Legnica;Złotoryja;1884-01-01;;false;;Lijewski;
L_376f8e02e1;Gryfów Śląski;Mirsk;1884-01-01;;false;;Lijewski;
L_db33c9cb5c;Olsztyn Gutkowo;Orneta;1884-01-01;;false;;Lijewski;
L_a3a7e4ab60;Braniewo;Pieniężno;1884-01-01;;false;;Lijewski;
L_d89b836ca6;Chryplin;Pałahicze;1884-01-01;;false;;Semaforek;
L_aa0fbe7aac;Buczacz;Pałahicze;1884-01-01;;false;;Semaforek;
L_f04c38c273;Zwardoń;Żywiec;1884-01-01;;false;;Lijewski;
L_082890dddb;Zwardoń;Čadca;1884-01-01;;false;;Lijewski;
L_e70bbf949f;Sieniawka;Zittau;1884-01-01;;false;750.0;Lijewski;
L_25e9ca8246;Bogatynia;Sieniawka;1884-01-01;;false;750.0;Lijewski;
L_c1d4992ae8;Bogatynia;Markocice;1884-01-01;;false;750.0;Lijewski;
L_4cb10ecb06;Skawce;Sucha Beskidzka;1884-01-01;;false;;Lijewski;
L_71edc68b03;Kalwaria Zebrzydowska;Skawce;1884-01-01;;false;;Lijewski;
L_6b8d17d371;Kalwaria Zebrzydowska;Skawina;1884-01-01;;false;;Lijewski;
L_0a8e955514;Sucha Beskidzka;Żywiec;1884-01-01;;false;;Lijewski;
L_02164144b1;Chabówka;Sucha Beskidzka;1884-01-01;;false;;Lijewski;
L_a4582a73d9;Chabówka;Limanowa;1884-01-01;;false;;Lijewski;
L_2a5c9c6c42;Limanowa;Nowy Sącz;1884-01-01;;false;;Lijewski;
L_a6ed9da7bf;Biała Czortkowska;Buczacz;1884-01-01;;false;;Semaforek;
L_a21c3e70bf;Biała Czortkowska;Kopyczyńce;1884-01-01;;false;;Semaforek;
L_b4c32750f0;Husiatyn;Kopyczyńce;1884-01-01;;false;;Semaforek;
L_371771be3c;Pińsk;Łuniniec;1884-01-01;;false;;Semaforek;
L_8b0fd6a492;Lida;Wilno;1884-01-01;;false;;Semaforek;
L_e97c316b86;Lida;Nowojelnia;1884-01-01;;false;;Semaforek;
L_bbc3648ea7;Baranowicze;Nowojelnia;1884-01-01;;false;;Semaforek;
L_623b058a5d;Baranowicze;Hancewicze;1884-01-01;;false;;Semaforek;
L_2abe7cddb0;Hancewicze;Malkowicze;1884-01-01;;false;;Semaforek;
L_805abbd83c;Dziatłowicze;Malkowicze;1884-01-01;;false;;Semaforek;
L_2b9d5bbd38;Dziatłowicze;Łuniniec;1884-01-01;;false;;Semaforek;
L_d4f25b96e7;Bąkowiec;Dęblin;1885-01-01;;false;;Lijewski;
L_ae06de3fd6;Bąkowiec;Radom;1885-01-01;;false;;Lijewski;
L_c26fafd397;Radom;Skarżysko Kamienna;1885-01-01;;false;;Lijewski;
L_102d901276;Kielce;Skarżysko Kamienna;1885-01-01;;false;;Lijewski;
L_3b59e3b60a;Jędrzejów;Kielce;1885-01-01;;false;;Lijewski;
L_2807fccd65;Jędrzejów;Tunel;1885-01-01;;false;;Lijewski;
L_de782fffb7;Charsznica;Tunel;1885-01-01;;false;;Lijewski;
L_2fad772226;Charsznica;Olkusz;1885-01-01;;false;;Lijewski;
L_2180169f61;Bukowno;Olkusz;1885-01-01;;false;;Lijewski;
L_ac778a658b;Bukowno;Strzemieszyce Północne;1885-01-01;;false;;Lijewski;
L_f235a370b2;Gołonóg;Strzemieszyce Północne;1885-01-01;;false;;Lijewski;
L_8688221aca;Gorlice;Zagórzany;1885-01-01;;false;;Lijewski;
L_8b0361657b;Lutol Suchy;Zbąszyń;1885-01-01;;false;;Lijewski;
L_5b42520803;Lutol Suchy;Międzyrzecz;1885-01-01;;false;;Lijewski;
L_311d331270;Orneta;Pieniążno;1885-01-01;;false;;Lijewski;W bazie Pod-Semaforkiem zamiast [Głębock, Korniewo] jest [Zinten, Kobbelbude]
L_e066fe7b2b;Głębock;Pieniążno;1885-01-01;;false;;Lijewski;W bazie Pod-Semaforkiem zamiast [Głębock, Korniewo] jest [Zinten, Kobbelbude]
L_b365705b07;Głębock;Korniewo;1885-01-01;;false;;Lijewski;W bazie Pod-Semaforkiem zamiast [Głębock, Korniewo] jest [Zinten, Kobbelbude]
L_6aa3024aa1;Pustków Żurowski;Sobótka Zachodnia;1885-01-01;;false;;Lijewski;
L_14132a1264;Skarszewy;Sobowidz;1885-01-01;;false;;Lijewski;
L_7722df1040;Czempiń;Śrem;1885-01-01;;false;;Lijewski;
L_ca0b653036;Gryfów Śląski;Lwówek Śląski;1885-01-01;;false;;Lijewski;
L_568b836e13;Kościerzyna;Skarszewy;1885-01-01;;false;;Lijewski;
L_9f632f8537;Bydgoszcz Wschód;Fordon;1885-01-01;;false;;Lijewski;
L_68198c6648;Biała Piska;Pisz;1885-01-01;;false;;Lijewski;W przeciwieństwie do Pod-Semaforkiem, u Lijewskiego nie ma na tym odcinku wymienionej Białej Piskiej.
L_2220500fff;Biała Piska;Ełk;1885-01-01;;false;;Lijewski;W przeciwieństwie do Pod-Semaforkiem, u Lijewskiego nie ma na tym odcinku wymienionej Białej Piskiej.
L_587c6af17b;Bojanowo;Góra Śląska;1885-01-01;;false;;Lijewski;
L_f19fc9be12;Cranz;Königsberg;1885-01-01;;false;;Semaforek;
L_6930ca66e4;Cranz;Neukuhren;1885-01-01;;false;;Semaforek;
L_9bcf5bebec;Koluszki;Tomaszów Mazowiecki;1885-01-01;;false;;Lijewski;
