line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_57aed5e82e;Koniecpol;Włoszczowa;1911-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, baza Pod-Semaforkiem wymienia stację pośrednią Koniecpol.
L_45c49d37e6;Częstochowa Stradom;Koniecpol;1911-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, baza Pod-Semaforkiem wymienia stację pośrednią Koniecpol.
L_108eafb683;Krynica;Muszyna;1911-01-01;;false;;Lijewski;
L_99dec0566d;Jastrzębie Zdrój Moszczenica;Pawłowice Śląskie;1911-01-01;;false;;Lijewski;
L_77d68e71bb;Kucharki;Ociąż;1911-01-01;;false;;Lijewski;
L_8c98706d89;Kępno;Rychtal;1911-01-01;;false;;Lijewski;
L_bfd915e8c2;Anastazewo;Powidz;1955-01-01;;false;750.0;Semaforek;
L_48d7d25d93;Obiecanowo;Żnin Wąskotorowy;1911-01-01;;false;;Lijewski;
L_b21e92d2f0;Drohobycz;Truskawiec Zdrój;1912-01-01;;false;;Semaforek;
L_6a0ad221e5;Olek;Unisław Pomorski;1912-01-01;;false;;Lijewski;
L_d1612eabfe;Leszczyny;Rybnik Piaski;1912-01-01;;false;;Lijewski;
L_73c45ba3ad;Barcin;Mogilno;1912-01-01;;false;;Lijewski;
L_1b12d4696b;Czarnków;Jabłonowo Wielkopolskie;1912-01-01;;false;;Lijewski;
L_1d78f45ddf;Osowa Góra;Puszczykówko;1912-01-01;;false;;Lijewski;
L_027c187357;Katowice Ligota;Tychy;1912-01-01;;false;;Lijewski;
L_7133f6de59;Mysłowice Krasowy;Mysłowice Wesoła;1912-01-01;;false;;Lijewski;
L_d44b98f67d;Mysłowice Brzezinka;Mysłowice Krasowy;1912-01-01;;false;;Lijewski;
L_24adea1363;Lędziny;Mysłowice Krasowy;1912-01-01;;false;;Lijewski;
L_bce411dc57;Anastazewo;Jabłonka Słupecka;1955-01-01;;false;750.0;Semaforek;
L_c56d88edcc;Gosławice;Jabłonka Słupecka;1955-01-01;;false;750.0;Semaforek;
L_eeef3051fd;Jabłonka Słupecka;Sławoszewek;1955-01-01;;false;750.0;Semaforek;
L_35ed8dd3d5;Sławoszewek;Wilczyn;1955-01-01;;false;750.0;Semaforek;
L_b1d4d73d4d;Częstochowa;Częstochowa Stradom;1912-01-01;;false;;Atlas Kolejowy;
L_d861f08724;Rybnik;Sumina;1913-01-01;;false;;Lijewski;
L_138dfae7bc;Jabłonowo Wielkopolskie;Ujście;1913-01-01;;false;;Lijewski;
L_cdfcc32e2f;Olekszyn;Sława Wielkopolska;1913-01-01;;false;;Lijewski;Lijewski podaje otwarcie odcinka Skoki-Olekszyn, natomiast w istocie odcinek Skoki-Sława Wielkopolska był już zbudowany.
L_9a48962b68;Gniezno Winiary;Obora Wielkopolska;1913-01-01;;false;;Lijewski;
L_ecec48934c;Dębnica Wielkopolska;Obora Wielkopolska;1913-01-01;;false;;Lijewski;
L_ff4c0aa04c;Jastrzębie Zdrój;Jastrzębie Zdrój Moszczenica;1913-01-01;;false;;Lijewski;
L_a19509c3ee;Jastrzębie Zdrój Moszczenica;Wodzisław Śląski;1913-01-01;;false;;Lijewski;
L_1d83d1ba98;Otwock Wąskotorowy;Wawer Wąskotorowy;1914-01-01;;false;;Lijewski;
L_85bec2ecc0;Karczew;Otwock Wąskotorowy;1914-01-01;;false;;Lijewski;
L_a8d627c4f9;Dębnica Wielkopolska;Kłecko;1914-01-01;;false;;Lijewski;
L_d7883ba72f;Kłecko;Olekszyn;1914-01-01;;false;;Lijewski;
L_3775a5d74c;Gdańsk Wrzeszcz;Kokoszki;1914-01-01;;false;;Lijewski;
L_534074792f;Kokoszki;Stara Piła;1914-01-01;;false;;Lijewski;
